idem;year;Gov_debt;Unempl_rate;Wages;HICP;Net_mig;Gini_net;Gini_market;Net_len_wi;Quantiles;le_male;le_female;Deciles;Health_exp;Education_exp;Social_prot_ex_pen;Social_prot;Family;Unemp_tra;Corporate_ta;pro_imp_tx;ind_tx;property_tx;PIT;cit_total;Property_taxes;VAT;trade;pop_gro;Trade;TOT;GDP;GDP_pc;Secondary_ed;Tertiary_ed;td_male;td_female;leavers;Gov_ex;Deficit;Soc_payable;Soc_kind;employ_rate;arp_mid;mrp_all;insaccess;goveff;regqua;ruleoflaw;voice;instdepth;ins_effic;RD_gdp;res_1mill;sav_gdp;Savings_percapit;ICT;gi_trend;ed_trend;he_trend;soc_trend;kind_trend;prt_trend;indt_trend;pit_trend;gi_cycle;ed_cycle;he_cycle;soc_cycle;kind_cycle;prt_cycle;indt_cycle;pit_cycle;gi_bb;ed_bb;he_bb;soc_bb;kind_bb;prt_bb;indt_bb;pit_bb;gdppc_gro;gdp_gro;insde_d;tot_d;debt_d;redis;pi_m;pi_a;rd;rd1;dtrade;lgini;lgdpg;leduc;lkind;lpay;phat0;phat;invwt;inst;mu;mu0;mu1;mdiff1;iptw;dr1;ate;dumm;PITdm;Gini_netdm;Health_expdm;Education_expdm;ind_txdm;Property_taxesdm;Soc_payabledm;Soc_kinddm;gdp_grodm;GDP_tren;GDP_cycle;GDP_bb
Austria;1997;1.800717078;0.716003344;4.932426578;0.255272505;0.113943352;1.434568904;1.632457292;0.64830145;0.032216237;NA;NA;0.320301645;0.845494886;0.734553409;0.857332496;1.326335861;0.452155155;0.100138254;-0.239386801;1.182506038;0.907564081;-0.239386801;0.232940121;-1.721502273;-3.115052572;-1.091029923;NA;7.13E-05;1.875020548;2.015806936;5.242741386;1.372469202;1.811575006;0.919078092;NA;NA;NA;1.719331287;0.681241237;1.283301229;0.447158031;1.831078856;-1.1512556;-1.019197881;-0.21394413;0.271472403;0.163117379;0.25947439;0.157425938;-0.191965993;-0.084941244;0.21877438;NA;1.408865225;3.835465591;NA;1.435924435;0.733007142;0.845382995;1.284428691;0.458364261;-3.092281376;0.901717035;-1.055302553;-0.001355531;0.001546266;0.000111892;-0.001127463;-0.011206229;-0.022771196;0.005847046;0.022673558;0;1;1;0;0;0;1;1;3.70030681;1.241993838;0.077804523;1.975261964;2.163000359;0.632457292;1.052453284;1.188819913;NA;0.308223616;0.028642713;1.439332694;1.243269259;0.740779186;0.431363764;1.29666519;0.535300757;0.531657097;2.151929479;1.461871873;1.440011805;0;1.440011805;-1.222686057;2.6526335;1.429947442;1;0;0.007502771;-0.00139888;-0.030913362;0.029078736;0.019083364;0.005005939;0.010222221;-0.080725136;0.009055992;5.242741386;0.003158868;1
Austria;1998;1.803457116;0.740362689;4.943991345;0.146128036;0;1.431363764;1.636487896;0.558216411;0.00609931;NA;NA;0.296647019;0.854738808;0.728658791;0.84509804;1.320146286;0.420017629;0.116348055;-0.242778635;1.180042601;0.902652675;-0.242778635;0.212338641;-1.693863731;-3.138019394;-1.096116483;-5.950601589;6.91E-05;1.88698567;2.014166323;5.264740162;1.388232323;1.818225894;0.913813852;NA;NA;NA;1.719331287;0.653212514;1.276461804;0.462397998;1.831696493;-1.168722248;-1.050396297;-0.210206917;0.273971071;0.126473274;0.263312065;0.141389322;-0.198500843;-0.08344651;0.238435037;3.366872428;1.417353272;3.854499128;NA;1.432714489;0.731476533;0.848268725;1.2813042;0.461682064;-3.126832327;0.903572634;-1.034777359;-0.001350724;-0.002817742;0.006470083;-0.004842396;0.000715934;-0.011187068;-0.00091996;0.006268595;0;0;1;0;1;0;0;1;3.727106337;1.240881704;0.076913391;1.982823952;2.252302549;0.636487896;1.080341798;1.202041076;4.772047652;0.33794668;0.011965122;1.434568904;1.241993838;0.734553409;0.447158031;1.283301229;0.530154681;0.526552096;1.88624195;1.461871873;1.439189424;1.439189424;0;-1.439189424;2.634193431;1.195004006;1;0;-0.013098709;-0.00460402;-0.02166944;0.023184118;0.014171959;-0.017960883;0.003382796;-0.065485169;0.007943858;5.264740162;0.004104891;1
Austria;1999;1.822168079;0.672097858;4.940849051;0.041392685;0.188229908;1.426511261;1.639486489;0.501483759;-0.003516222;NA;NA;0.290766805;0.86213278;0.731039963;0.851258349;1.324282455;0.450589961;0.097417202;-0.242197959;1.183136954;0.913052909;-0.242197959;0.218339496;-1.774020246;-3.108760549;-1.086020056;-4.473875951;0.00012242;1.894201209;2.011965686;5.284473823;1.40663912;1.782472624;1.155336037;NA;NA;NA;1.717670503;0.662757832;1.276461804;0.491361694;1.834823707;-1.165417199;-1.042055746;-0.181488555;0.282178286;0.151031629;0.260910688;0.134268246;-0.198759191;-0.071544052;0.266083456;3.395656576;1.423646667;3.857804987;NA;1.429458155;0.72809368;0.85177446;1.278239105;0.468668541;-3.134996689;0.903460218;-1.024692242;-0.002946894;0.002946283;0.01035832;-0.001777301;0.022693153;0.026236139;0.00959269;0.000452613;0;1;1;0;1;1;1;1;3.623189098;1.23910804;0.066033765;1.983861661;2.267909566;0.639486489;1.067314791;1.19366648;4.834215167;0.378808825;0.007215539;1.431363764;1.240881704;0.728658791;0.462397998;1.276461804;0.530203996;0.52825255;1.88606651;1.461871873;1.442016305;0;1.442016305;-1.206722629;2.620258803;1.413536174;1;0;-0.007097854;-0.009456523;-0.014275468;0.02556529;0.024572193;0.011297962;0.003382796;-0.036521473;0.006170194;5.284473823;0.002685951;1
Austria;2000;1.818885415;0.672097858;4.894571911;0.414973348;0.231878853;1.424881637;1.644438589;0.53943995;-0.004060965;0.982271233;1.029383778;0.273170827;0.85351839;0.717161468;0.84509804;1.318063335;0.461639625;0.052841154;-0.248115308;1.170848726;0.896597233;-0.248115308;0.199896571;-1.721696174;-3.171661316;-1.102834784;NA;0.000151302;1.931832928;2.007520518;5.314485755;1.425896796;NA;NA;NA;NA;0.047112545;1.705863712;0.707570176;1.271841607;0.477121255;1.835690571;-1.152273167;-1.054759467;-0.174435594;0.290233301;0.174275243;0.25849596;0.127028458;-0.188416924;-0.072164359;0.275546294;3.422620794;1.429971389;3.82027858;NA;1.426966115;0.723309598;0.854942241;1.275763365;0.475951511;-3.128398705;0.901077956;-1.021661169;-0.002084478;-0.00614813;-0.001423852;-0.003921758;0.001169744;-0.043262611;-0.004480723;-0.02139578;0;0;0;0;1;0;0;0;3.506541122;1.240405701;0.067346143;1.983783191;2.212303617;0.644438589;1.100174192;1.201886534;4.894249811;0.394023317;0.037631719;1.426511261;1.23910804;0.731039963;0.491361694;1.276461804;NA;NA;NA;1.461871873;1.443613766;1.443613766;0;1.702596911;-3.10538589;-1.402788979;1;1;-0.025540779;-0.011086147;-0.022889858;0.011686795;0.008116517;-0.051602805;-0.001237401;-0.050761912;0.007467855;5.314485755;0.012720582;1
Austria;2001;1.822821645;0.602059991;4.890211926;0.462397998;0.210381347;1.424881637;1.649334859;0.731080851;-0.006493637;0.986771734;1.029383778;0.2777789;0.848931672;0.715263657;0.826074803;1.31386722;0.449576946;0.043298437;-0.243777086;1.16941877;0.893257626;-0.243777086;0.194237791;-1.536124641;-3.047798384;-1.10632312;NA;0.000240809;1.94269547;2.008437581;5.317067283;1.438078221;NA;NA;NA;NA;0.042612043;1.711807229;0.812913357;1.269512944;0.477121255;1.834897339;-1.153630094;-1.077494599;-0.18546957;0.291898019;0.184491056;0.26427797;0.121049519;-0.188419999;-0.082825426;0.299311135;3.44807188;1.429956881;3.819787446;NA;1.425577545;0.718046709;0.858471441;1.274122568;0.483789698;-3.114464837;0.897658849;-1.022225689;-0.000695908;-0.002783052;-0.00953977;-0.004609624;-0.006668443;0.066666453;-0.004401223;0.00755569;0;0;0;0;0;1;0;1;3.376588494;1.232375672;0.07725068;1.993445836;2.225978887;0.649334859;1.093301444;1.170553846;4.930594111;0.428002017;0.010862542;1.424881637;1.240405701;0.717161468;0.477121255;1.271841607;NA;NA;NA;1.461871873;1.448706943;1.448706943;0;1.62016262;-3.018399206;-1.398236586;1;1;-0.031199559;-0.011086147;-0.027476576;0.009788984;0.004776909;0.072260127;-0.003566064;-0.050761912;-0.000562174;5.317067283;-0.0026545;0
Austria;2002;1.822821645;0.69019608;4.922144454;0.361727836;0.238023238;1.426511261;1.655138435;0.678427322;0.013805927;0.939519253;1.008600172;0.318862286;0.864436156;0.714708231;0.851258349;1.320146286;0.451944653;0.103887686;-0.274221452;1.172349536;0.898965635;-0.274221452;0.190804785;-1.679847894;-3.099327775;-1.100905095;NA;0.000310694;1.939319279;2.0115071;5.335402733;1.447993709;NA;NA;NA;NA;0.069080919;1.709269961;0.763427994;1.274157849;0.491361694;1.837272703;-1.15577825;-1.095619383;-0.197706191;0.29355638;0.194472045;0.269983984;0.114987078;-0.191546696;-0.079979287;0.315126113;3.472124955;1.441245604;3.862878243;NA;1.425298106;0.712243731;0.862833617;1.272934825;0.492628983;-3.107543562;0.893718982;-1.026350676;0.001213155;0.002464499;0.001602539;0.001223024;-0.001267289;0.008215787;0.005246653;-0.000847195;1;1;1;1;0;1;1;0;3.305331422;1.235885934;0.073861663;1.994676852;2.215330207;0.655138435;1.125417898;1.187212958;5.004184828;0.454174125;-0.003376191;1.424881637;1.232375672;0.715263657;0.477121255;1.269512944;NA;NA;NA;1.464519749;1.454502047;0;1.454502047;-1.287809735;2.689538077;1.401728342;1;0;-0.034632565;-0.009456523;-0.011972092;0.009233558;0.010484919;0.020730736;0.001078841;-0.036521473;0.002948088;5.335402733;-0.001444867;0
Austria;2003;1.81756537;0.681241237;5.009401174;0.278753601;0.270878781;1.426511261;1.6599162;0.687751848;0.034429016;0.919078092;0.991226076;0.360473963;0.871334311;0.72202255;0.851258349;1.322219295;0.459615887;0.131586843;-0.263863355;1.168686443;0.888093431;-0.263863355;0.212719559;-1.687808839;-3.088030367;-1.11229123;NA;0.000280391;1.936976257;2.014980241;5.344979648;1.455768087;NA;NA;NA;NA;0.072147983;1.711807229;0.73239376;1.281033367;0.505149978;1.838534271;-1.151968606;-1.050186165;-0.186829986;0.305102738;0.188443186;0.269989489;0.1091621;-0.190143012;-0.084915464;0.337371395;3.503992944;1.430348942;3.938513529;NA;1.426022113;0.705394096;0.866973961;1.271080703;0.501848298;-3.111316727;0.889070244;-1.032792092;0.000489149;0.016628453;0.004360351;0.009952664;0.00330168;0.023286359;-0.000976812;0.005489246;1;1;1;1;1;1;0;1;3.249527968;1.232868081;0.078626938;1.992057437;2.208942097;0.6599162;1.078859236;1.183420627;5.0119326;0.482558818;-0.002343022;1.426511261;1.235885934;0.714708231;0.491361694;1.274157849;NA;NA;NA;1.464519749;1.454297813;0;1.454297813;-1.27531084;2.677455365;1.402144525;1;0;-0.012717791;-0.009456523;-0.005073937;0.016547877;-0.000387286;0.032028144;0.007954359;-0.022733189;-6.98E-05;5.344979648;-0.008928155;0
Austria;2004;1.813580989;0.770852012;5.060099991;0.414973348;0.289982985;1.426511261;1.665580991;0.12946431;0.011977792;1.021189299;0.959041392;0.325472221;0.87730511;0.692788681;0.84509804;1.31386722;0.45032301;0.10931727;-0.267450244;1.164468251;0.885307737;-0.267450244;0.214979847;-1.670732056;-3.114196281;-1.11526699;-4.788612663;0.000395137;1.958727966;2.012691997;5.368120389;1.472247573;1.790988475;1.255272505;1.342422681;1.298853076;-0.062147907;1.731588765;0.361727836;1.274157849;0.51851394;1.822984883;-1.117450427;-0.989479138;-0.181093388;0.281001916;0.187800155;0.266281408;0.162903461;-0.186070808;-0.081334697;0.335682512;3.499521399;1.435313691;4.00141542;NA;1.427837986;0.697385556;0.870094073;1.267636455;0.510623808;-3.12815165;0.884363987;-1.040441453;-0.001326724;-0.004596875;0.007211036;0.006521395;0.007890132;0.013955369;0.00094375;0.001557502;0;0;1;1;1;1;1;1;3.230255946;1.235476532;0.074968695;1.982986383;2.218270313;0.665580991;1.027953997;1.160901316;5.022910976;0.481809705;0.021751709;1.426511261;1.232868081;0.72202255;0.505149978;1.281033367;0.541874917;0.532050463;1.845444342;1.461871873;1.455741701;1.455741701;0;-1.455741701;2.67638611;1.220644409;1;0;-0.010457503;-0.009456523;0.000896862;-0.012685992;-0.00317298;0.00586223;0.001078841;-0.009369227;0.002538686;5.368120389;-0.003316005;0
Austria;2005;1.836324116;0.755874856;5.075177471;0.431363764;0.31723742;1.426511261;1.672097858;0.59244325;0.014753787;0.986771734;0.949390007;0.313964586;0.873067883;0.683223346;0.838849091;1.305351369;0.440469987;0.099058403;-0.266503408;1.155923458;0.883957261;-0.266503408;0.25713405;-1.67730171;-3.170067717;-1.116692135;-5.248110033;0.000427975;1.973875711;2.009203359;5.38899907;1.4898113;1.797267541;1.247973266;1.320146286;1.309630167;-0.037381728;1.710963119;0.662757832;1.264817823;0.51851394;1.828659897;-1.109788646;-1.001177653;-0.193614412;0.235650041;0.207710857;0.270251183;0.131701582;-0.169368403;-0.081345936;0.37534166;3.537735317;1.428847223;4.01321389;0.437696274;1.430912408;0.690766414;0.87209321;1.263270759;0.518659947;-3.156689835;0.880095276;-1.047311993;-0.004401147;-0.007543068;0.000974673;0.001547064;-0.000146007;-0.013377882;0.003861985;-0.01274823;0;0;1;1;0;0;1;0;3.154725159;1.233711205;0.075227343;1.984022156;2.257088281;0.672097858;1.061308607;1.176442801;5.054883283;0.536305889;0.015147745;1.426511261;1.235476532;0.692788681;0.51851394;1.274157849;0.508108689;0.50768832;2.032969435;1.461871873;1.460895611;1.460895611;0;-1.460895611;2.690170543;1.229274933;1;0;0.0316967;-0.009456523;-0.003340365;-0.022251327;-0.004523456;-0.050009206;-0.008261185;-0.009369227;0.000773359;5.38899907;0.000460201;1
Austria;2006;1.828015064;0.72427587;5.099975019;0.361727836;0.299155952;1.432969291;1.679427897;0.489775728;0.011604764;1.012837225;0.991226076;0.311326369;0.867216902;0.683082891;0.832508913;1.298853076;0.419808773;0.091719305;-0.248982784;1.143714891;0.868564505;-0.248982784;0.251007163;-1.68624547;-3.214509739;-1.133153636;-6.5470359;0.000324961;1.992245273;2.004423201;5.410945353;1.510452378;1.797267541;1.243038049;1.338456494;1.309630167;-0.021611149;1.704150517;0.662757832;1.255272505;0.51851394;1.836165816;-1.108143198;-0.999532227;-0.191032829;0.260228907;0.217406116;0.28152681;0.149861077;-0.173432898;-0.091729119;0.372770282;3.547053023;1.439750363;4.048653639;0.41544324;1.435199789;0.687349474;0.874024392;1.259695718;0.526923569;-3.193339925;0.876910173;-1.051167747;-0.002230498;-0.004266582;-0.00680749;-0.004423212;-0.008409629;-0.021169814;-0.008345668;-0.008565003;0;0;0;0;0;0;0;0;3.083743429;1.232842675;0.084828653;1.986144005;2.185773469;0.679427897;1.059237036;1.174335639;5.106870877;0.536696149;0.018369562;1.426511261;1.233711205;0.683223346;0.51851394;1.264817823;0.496554112;0.494999371;1.98631079;1.461871873;1.461896674;1.461896674;0;1.602486743;-3.003746714;-1.401259972;1;0;0.025569813;-0.002998493;-0.009191346;-0.022391782;-0.019916212;-0.094451228;-0.017806503;-0.009369227;-9.52E-05;5.410945353;0.007155192;1
Austria;2007;1.813580989;0.69019608;5.160499144;0.447158031;0.255912635;1.442479769;1.684845362;0.5155957;0.008335657;1.06069784;1.008600172;0.32112734;0.869421441;0.67321227;0.812913357;1.28780173;0.397350648;0.079916018;-0.256858052;1.140027614;0.869824325;-0.256858052;0.245333979;-1.639898483;-3.180677363;-1.132291904;NA;0.000206515;2.003541667;2.002548056;5.430446112;1.534458281;1.796574333;1.238046103;1.334453751;1.303196057;-0.052097669;1.694605199;0.763427994;1.243038049;0.531478917;1.844321821;-1.105831134;-0.997220149;-0.19136129;0.271205843;0.2304581;0.292729799;0.147616654;-0.180892052;-0.0949715;0.383533522;3.580928569;1.465969479;4.136732574;0.383056793;1.439950353;0.687740648;0.877096589;1.258870963;0.53635817;-3.236651024;0.87607266;-1.051812466;0.002529416;-0.014528378;-0.007675148;-0.015832914;-0.004879253;0.055973661;-0.006248335;-0.002738848;1;0;0;0;0;1;0;0;3.006075292;1.231129764;0.086991817;1.99372939;2.190275356;0.684845362;1.051619818;1.166155675;5.249531989;0.562248437;0.011296394;1.432969291;1.232842675;0.683082891;0.51851394;1.255272505;0.48930459;0.489782136;1.958114327;1.464519749;1.459898305;1.459898305;0;1.549283322;-2.973278073;-1.423994751;1;0;0.019896629;0.006511985;-0.006986807;-0.032262403;-0.018656392;-0.060618852;-0.030040959;0.00359575;-0.001808082;5.430446112;0.014607274;1
Austria;2008;1.837588438;0.62324929;5.214595382;0.579783597;0.279576505;1.447158031;1.69019608;0.481843771;0.068120656;1.017033339;0.995635195;0.377695846;0.878493493;0.688099505;0.812913357;1.292256071;0.410476257;0.026544439;-0.282088289;1.144518848;0.874853337;-0.282088289;0.240180663;-1.633528497;-3.224724352;-1.127413917;NA;0.00019909;2.009132287;1.997151715;5.43411761;1.547791806;1.799340549;1.252853031;1.338456494;1.342422681;-0.021398145;1.700703717;0.755874856;1.247973266;0.544068044;1.850186583;-1.102470791;-0.993859803;-0.191325939;0.248602756;0.205371937;0.284828902;0.145219813;-0.178901283;-0.13634393;0.409840171;3.616677745;1.460936811;4.174500983;0.352237052;1.444057443;0.691863197;0.881429572;1.262048413;0.546561702;-3.288559408;0.877511411;-1.050420303;0.003100588;-0.003763692;-0.002936079;-0.014075147;-0.002493657;0.063835056;-0.002658074;0.017934988;1;0;0;0;0;1;0;1;2.896001168;1.226539602;0.124518245;1.992075794;2.258642302;0.69019608;1.026145651;1.138284901;5.283737651;0.598750592;0.00559062;1.442479769;1.231129764;0.67321227;0.531478917;1.243038049;0.501469415;0.507508823;2.005894985;1.464519749;1.458606289;1.458606289;0;1.510171826;-2.945476874;-1.435305047;1;1;0.014743313;0.011190247;0.002085245;-0.017375168;-0.01362738;-0.104665841;-0.025105742;0.016184877;-0.006398244;5.43411761;0.009639311;1
Austria;2009;1.903632516;0.73239376;5.195059019;-4.82E-17;0.286461125;1.450249108;1.694605199;0.308628433;0.038526477;0.934498451;0.949390007;0.356245296;0.897141146;0.710975408;0.851258349;1.326335861;0.436015689;0.134913401;-0.280170886;1.157810678;0.887846351;-0.280170886;0.240553073;-1.799763733;-3.249159045;-1.113523236;-6.58439757;0.000150214;1.938554958;2.00529056;5.414463588;1.538215695;1.797267541;1.276461804;1.359835482;1.378397901;0.014891555;1.736396502;0.255272505;1.283301229;0.568201724;1.847109741;-1.108614471;-1.000003488;-0.197684562;0.223632724;0.164772124;0.252121815;0.151826039;-0.171785793;-0.132741097;0.414428468;3.617011306;1.412195378;4.093103342;0.296100535;1.446819112;0.69731584;0.885915088;1.26794672;0.556351438;-3.342045564;0.880155366;-1.048603624;0.003429996;0.013659568;0.011226058;0.015354509;0.011850286;0.092886519;0.007690985;-0.006150158;1;1;1;1;1;1;1;0;2.808029763;1.22109156;0.116814191;2.011018514;2.272754052;0.694605199;1.054757462;1.169315307;5.107926649;0.585253967;-0.070577329;1.447158031;1.226539602;0.688099505;0.544068044;1.247973266;0.551581572;0.558310371;1.812968472;1.464519749;1.45653562;0;1.45653562;-1.349383215;2.793808289;1.444425074;1;1;0.015115723;0.014281324;0.020732898;0.005500735;-0.000634366;-0.129100534;0.010222221;0.040318557;-0.011846286;5.414463588;-0.017375517;0
Austria;2010;1.918030337;0.69019608;5.181638107;0.361727836;0.278489601;1.44870632;1.696356389;0.324755599;0.05761059;0.924279286;0.919078092;0.390991405;0.897614543;0.710775137;0.86332286;1.330413773;0.428661556;0.147517206;-0.279442156;1.156826772;0.88641381;-0.279442156;0.237351213;-1.739052524;-3.581362798;-1.114913828;-6.479914486;0.000147161;1.994242723;1.998098268;5.429571905;1.548878231;1.800717078;1.281033367;1.348304863;1.387389826;-0.005201194;1.725094521;0.431363764;1.285557309;0.568201724;1.849879878;-1.108382051;-0.99977106;-0.201441626;0.264183612;0.164580958;0.256667718;0.166074272;-0.171066796;-0.122095225;0.435541783;3.638461024;1.415065825;4.085849974;0.336904989;1.448029505;0.701095104;0.888975111;1.273032512;0.564145665;-3.379876374;0.882508174;-1.045105201;0.000676815;0.009680033;0.008639432;0.012524797;0.004056059;-0.201486424;0.003905636;-0.005834199;1;1;1;1;1;0;1;0;2.877802051;1.229950547;0.107787406;1.987582842;2.122577821;0.696356389;1.050698797;1.164842367;5.148661851;0.616320292;0.055687765;1.450249108;1.22109156;0.710975408;0.568201724;1.283301229;0.556797878;0.53573393;1.795983857;1.464519749;1.458291252;0;1.458291252;-1.32611443;2.766104579;1.439990148;1;0;0.011913863;0.012738536;0.021206295;0.005300464;-0.002066907;-0.461304287;0.012478301;0.040318557;-0.002987299;5.429571905;-0.012022202;0
Austria;2011;1.916980047;0.662757832;5.219293939;0.62324929;0.29201113;1.44870632;1.697229343;0.451556183;0.067058858;0.954242509;0.903089987;0.368488643;0.885848196;0.699661358;0.832508913;1.315970345;0.38615511;0.109308186;-0.294047386;1.158709619;0.879656642;-0.294047386;0.231890822;-1.709854487;-3.570522159;-1.121504979;-6.58305736;0.000205751;2.020460319;1.99052185;5.449438131;1.567856029;1.800717078;1.283301229;1.357934847;1.385606274;-0.051152522;1.7084209;0.662757832;1.269512944;0.568201724;1.851869601;-1.122979823;-1.014368865;-0.17237503;0.207623079;0.14187413;0.25792528;0.156246253;-0.183521502;-0.124104182;0.426296501;3.642498814;1.426896469;4.137647952;0.302603417;1.448031567;0.70238305;0.890827786;1.276229139;0.570258718;-3.369956874;0.884304041;-1.039651826;0.000674753;-0.002721692;-0.00497959;-0.006716195;-0.002056994;-0.200565285;-0.004647399;-0.008855383;1;0;0;0;0;0;0;0;2.856473331;1.230240359;0.110600401;1.994314502;2.088144552;0.697229343;1.063573068;1.17745244;5.197468696;0.608280972;0.026217596;1.44870632;1.229950547;0.710775137;0.568201724;1.285557309;0.531956392;0.52736379;2.136553053;1.464519749;1.443702897;1.443702897;0;1.558109835;-3.012216076;-1.454106241;1;1;0.006453472;0.012738536;0.009439948;-0.005813315;-0.008824075;-0.450463648;-0.003566064;0.040318557;-0.002697487;5.449438131;-0.005197944;0
Austria;2012;1.913813852;0.69019608;5.202397852;0.505149978;0.324359014;1.445604203;1.697229343;0.508691287;0.053706631;0.903089987;0.880813592;0.377667622;0.887730245;0.701045322;0.832508913;1.320146286;0.376986201;0.117748511;-0.256511402;1.165289096;0.888061766;-0.256511402;0.227420335;-1.707790228;-3.694857205;-1.113368511;-6.683774076;0.000281846;2.021189328;1.988309617;5.471379441;1.577680642;1.800029359;1.29666519;1.408239965;1.423245874;-0.022276395;1.709269961;0.698970004;1.274157849;0.568201724;1.853850249;-1.121157284;-1.012546313;-0.165971459;0.195719549;0.182578633;0.267838576;0.166861793;-0.189927297;-0.112876851;0.464596841;3.669265468;1.426177595;4.11252509;0.314399556;1.447276533;0.701910542;0.893073564;1.278463919;0.575653899;-3.312429928;0.885902076;-1.032903768;-0.001672329;-0.000865221;-0.005343319;-0.00430607;-0.007452174;-0.382427277;0.00215969;-0.001520239;0;0;0;0;0;0;1;0;2.778310983;1.229678732;0.100414937;2.007335443;2.087083419;0.697229343;1.047402213;1.159752009;5.233024201;0.662597605;0.000729009;1.44870632;1.230240359;0.699661358;0.568201724;1.269512944;0.532079465;0.529141068;2.137115012;1.461871873;1.453763192;1.453763192;0;1.545900709;-2.982828817;-1.436928108;1;0;0.001982985;0.009636419;0.011321997;-0.004429351;-0.000418951;-0.574798694;0.001078841;0.040318557;-0.003259114;5.471379441;0.001445217;1
Austria;2013;1.910090546;0.73239376;5.228331821;0.431363764;0.359954675;1.445604203;1.698100546;0.646717325;0.039347102;0.897627091;0.851258349;0.370429803;0.892728411;0.70279971;0.838849091;1.328379603;0.369053715;0.145892452;-0.141071993;1.163041992;0.887520904;-0.141071993;0.222224671;-1.676110872;-2.613388638;-1.113882522;NA;0.000377797;2.016209676;1.988956439;5.475082095;1.582170673;1.79518459;1.31386722;1.421603927;1.444044796;-0.046368743;1.712649702;0.763427994;1.281033367;0.579783597;1.853698212;-1.218500889;-1.109889902;-0.169106284;0.198211107;0.172791652;0.264850778;0.168813718;-0.192302013;-0.134873789;0.470545728;3.674376106;1.421952428;4.12710349;0.304960648;1.446323598;0.699972974;0.896516165;1.279589577;0.580965391;-3.239528848;0.886917803;-1.026938153;-0.000719395;0.002826736;-0.003787754;0.00144379;-0.001181794;0.626140211;0.000603101;0.002152487;0;1;0;1;0;1;1;1;2.73883277;1.224472709;0.121193813;2.012483138;2.090240306;0.698100546;1.137399262;1.248702245;5.224788025;0.66909364;-0.004979652;1.445604203;1.229678732;0.701045322;0.568201724;1.274157849;0.525580443;0.532258552;2.107838907;1.461871873;1.456469273;0;1.456469273;1.456469273;-2.959668753;-1.50319948;1;1;-0.003212679;0.009636419;0.016320163;-0.002674963;-0.000959812;0.506669873;0.007954359;0.05190043;-0.008465137;5.475082095;-0.010544006;0
Austria;2014;1.924524888;0.755874856;5.239857571;0.322219295;0.37934013;1.444044796;1.698100546;0.484071953;0.046504399;0.880813592;0.812913357;0.371893954;0.89702788;0.695931593;0.84509804;1.33243846;0.358429114;0.161217938;-0.22387002;1.160261135;0.885522549;-0.22387002;0.21868302;-1.685477138;-2.990508559;-1.117662088;NA;0.000491295;2.011707139;1.993184189;5.48787958;1.59097696;1.73239376;1.475671188;1.583198774;1.619093331;-0.067900236;1.719331287;0.653212514;1.285557309;0.591064607;1.851716868;-1.174594294;-1.065983325;-0.174319798;0.195364867;0.173296959;0.291544478;0.150259389;-0.202272759;-0.131874594;0.489155206;3.694418699;1.428146192;4.141783681;0.296354446;1.445464386;0.696727303;0.901104376;1.278769869;0.585635031;-3.244675308;0.887312296;-1.024075348;-0.00141959;-0.00079571;-0.004076497;0.00678744;0.005429576;0.254166749;-0.001789746;0.013666703;0;0;0;1;1;1;0;1;2.732835977;1.226319308;0.116201991;2.015441844;2.114652104;0.698100546;1.077078768;1.18682023;5.276169997;0.698585145;-0.004502537;1.445604203;1.224472709;0.70279971;0.579783597;1.281033367;0.547700307;0.540644968;1.825816029;1.461871873;1.460919438;1.460919438;0;1.559551386;-2.985582272;-1.426030886;1;0;-0.00675433;0.008077012;0.020619632;-0.00954308;-0.002958168;0.129549952;0.012478301;0.06318144;-0.006618538;5.48787958;-0.012200904;0
Austria;2015;1.928878007;0.755874856;5.174284315;0.146128036;0.415889727;1.444044796;1.698100546;0.615379331;0.045713389;0.892094603;0.832508913;0.352307271;0.913813852;0.69019608;0.838849091;1.326335861;0.361727836;0.146128036;0.347303078;1.155336037;0.887482039;0.347303078;0.214390628;-1.660197298;-3.420602303;-1.116679496;NA;0.000624498;2.01041579;2;5.510598489;1.600911611;1.733197265;1.485721426;1.574031268;1.602059991;-0.05958569;1.7084209;0.791693484;1.276461804;0.591064607;1.851869601;-1.112385994;-1.003774995;-0.182087767;0.168382327;0.155388876;0.267197787;0.145390873;-0.207660625;-0.141692608;0.484269936;3.700655136;1.44020794;4.085414457;0.299741956;1.444875416;0.692782767;0.906180944;1.275399556;0.588915568;-3.321108548;0.887143126;-1.026291321;-0.00083062;-0.002586687;0.007632909;0.001062248;0.002149039;-0.099493754;0.000338913;0.029108327;0;0;1;1;1;0;1;1;2.7089239;1.227884659;0.125184017;2.01372517;2.08634514;0.698100546;1.000947355;1.109252396;5.32971291;0.697449407;-0.001291349;1.444044796;1.226319308;0.695931593;0.591064607;1.285557309;0.533568348;0.527236905;1.874174139;1.461871873;1.464505208;1.464505208;0;-1.464505208;2.779162025;1.314656816;1;0;-0.011046722;0.008077012;0.037405604;-0.015278593;-0.000998678;-0.300543792;0.003382796;0.06318144;-0.005053187;5.510598489;0.000619375;1
